time,AdrActCnt,TxCnt,HashRate,BlkCnt
2009-05-23T00:00:00.000000000Z,32,0,0.00000159072862814815,32
2009-05-24T00:00:00.000000000Z,100,0,0.00000497102696296296,100
2009-05-25T00:00:00.000000000Z,109,0,0.00000541841938962963,109
2009-05-26T00:00:00.000000000Z,125,0,0.0000062137837037037,125
2009-05-27T00:00:00.000000000Z,119,0,0.00000591552208592593,119
2009-05-28T00:00:00.000000000Z,95,0,0.00000472247561481481,95
2009-05-29T00:00:00.000000000Z,167,1,0.00000526928858074074,106
2009-05-30T00:00:00.000000000Z,109,0,0.00000541841938962963,109
2009-05-31T00:00:00.000000000Z,96,0,0.00000477218588444444,96
2009-06-01T00:00:00.000000000Z,73,1,0.0000035294291437037,71
2009-06-02T00:00:00.000000000Z,111,0,0.00000551783992888889,111
2009-06-03T00:00:00.000000000Z,71,0,0.0000035294291437037,71
2009-06-04T00:00:00.000000000Z,66,0,0.00000328087779555556,66
2009-06-05T00:00:00.000000000Z,30,0,0.00000149130808888889,30
2009-06-06T00:00:00.000000000Z,28,0,0.00000139188754962963,28
2009-06-07T00:00:00.000000000Z,16,0,0.000000795364314074074,16
2009-06-08T00:00:00.000000000Z,82,0,0.00000407624210962963,82
2009-06-09T00:00:00.000000000Z,91,0,0.0000045236345362963,91
2009-06-10T00:00:00.000000000Z,82,0,0.00000407624210962963,82
2009-06-11T00:00:00.000000000Z,89,0,0.00000442421399703704,89
2009-06-12T00:00:00.000000000Z,86,0,0.00000427508318814815,86
2009-06-13T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-06-14T00:00:00.000000000Z,72,0,0.00000357913941333333,72
2009-06-15T00:00:00.000000000Z,84,0,0.00000417566264888889,84
2009-06-16T00:00:00.000000000Z,71,0,0.0000035294291437037,71
2009-06-17T00:00:00.000000000Z,79,0,0.00000392711130074074,79
2009-06-18T00:00:00.000000000Z,80,0,0.00000397682157037037,80
2009-06-19T00:00:00.000000000Z,87,0,0.00000432479345777778,87
2009-06-20T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-06-21T00:00:00.000000000Z,81,0,0.00000402653184,81
2009-06-22T00:00:00.000000000Z,137,1,0.00000377798049185185,76
2009-06-23T00:00:00.000000000Z,76,0,0.00000377798049185185,76
2009-06-24T00:00:00.000000000Z,100,2,0.00000472247561481481,95
2009-06-25T00:00:00.000000000Z,89,1,0.00000338029833481481,68
2009-06-26T00:00:00.000000000Z,90,0,0.00000447392426666667,90
2009-06-27T00:00:00.000000000Z,84,0,0.00000417566264888889,84
2009-06-28T00:00:00.000000000Z,48,1,0.00000228667240296296,46
2009-06-29T00:00:00.000000000Z,87,2,0.00000412595237925926,83
2009-06-30T00:00:00.000000000Z,85,0,0.00000422537291851852,85
2009-07-01T00:00:00.000000000Z,77,1,0.00000367855995259259,74
2009-07-02T00:00:00.000000000Z,85,1,0.00000412595237925926,83
2009-07-03T00:00:00.000000000Z,82,0,0.00000407624210962963,82
2009-07-04T00:00:00.000000000Z,89,0,0.00000442421399703704,89
2009-07-05T00:00:00.000000000Z,79,0,0.00000392711130074074,79
2009-07-06T00:00:00.000000000Z,84,0,0.00000417566264888889,84
2009-07-07T00:00:00.000000000Z,69,0,0.00000343000860444444,69
2009-07-08T00:00:00.000000000Z,74,0,0.00000367855995259259,74
2009-07-09T00:00:00.000000000Z,86,0,0.00000427508318814815,86
2009-07-10T00:00:00.000000000Z,81,0,0.00000402653184,81
2009-07-11T00:00:00.000000000Z,83,0,0.00000412595237925926,83
2009-07-12T00:00:00.000000000Z,77,0,0.00000382769076148148,77
2009-07-13T00:00:00.000000000Z,78,0,0.00000387740103111111,78
2009-07-14T00:00:00.000000000Z,69,0,0.00000343000860444444,69
2009-07-15T00:00:00.000000000Z,45,0,0.00000223696213333333,45
2009-07-16T00:00:00.000000000Z,71,0,0.0000035294291437037,71
2009-07-17T00:00:00.000000000Z,47,0,0.00000233638267259259,47
2009-07-18T00:00:00.000000000Z,4,0,0.000000198841078518518,4
2009-07-19T00:00:00.000000000Z,70,0,0.00000347971887407407,70
2009-07-20T00:00:00.000000000Z,192,1,0.00000347971887407407,70
2009-07-21T00:00:00.000000000Z,82,0,0.00000407624210962963,82
2009-07-22T00:00:00.000000000Z,60,0,0.00000298261617777778,60
2009-07-23T00:00:00.000000000Z,76,0,0.00000377798049185185,76
2009-07-24T00:00:00.000000000Z,73,0,0.00000362884968296296,73
2009-07-25T00:00:00.000000000Z,32,0,0.00000159072862814815,32
2009-07-26T00:00:00.000000000Z,21,0,0.00000104391566222222,21
2009-07-27T00:00:00.000000000Z,74,0,0.00000367855995259259,74
2009-07-28T00:00:00.000000000Z,41,0,0.00000203812105481481,41
2009-07-29T00:00:00.000000000Z,22,1,0.000000944495122962963,19
2009-07-30T00:00:00.000000000Z,17,1,0.000000745654044444444,15
2009-07-31T00:00:00.000000000Z,17,0,0.000000845074583703704,17
2009-08-01T00:00:00.000000000Z,28,0,0.00000139188754962963,28
2009-08-02T00:00:00.000000000Z,23,0,0.00000114333620148148,23
2009-08-03T00:00:00.000000000Z,12,0,0.000000596523235555555,12
2009-08-04T00:00:00.000000000Z,81,0,0.00000402653184,81
2009-08-05T00:00:00.000000000Z,87,0,0.00000432479345777778,87
2009-08-06T00:00:00.000000000Z,90,0,0.00000447392426666667,90
2009-08-07T00:00:00.000000000Z,192,1,0.00000397682157037037,80
2009-08-08T00:00:00.000000000Z,80,0,0.00000397682157037037,80
2009-08-09T00:00:00.000000000Z,101,0,0.00000502073723259259,101
2009-08-10T00:00:00.000000000Z,75,0,0.00000372827022222222,75
2009-08-11T00:00:00.000000000Z,70,0,0.00000347971887407407,70
2009-08-12T00:00:00.000000000Z,63,0,0.00000313174698666667,63
2009-08-13T00:00:00.000000000Z,85,0,0.00000422537291851852,85
2009-08-14T00:00:00.000000000Z,63,0,0.00000313174698666667,63
2009-08-15T00:00:00.000000000Z,26,0,0.00000129246701037037,26
2009-08-16T00:00:00.000000000Z,19,0,0.000000944495122962963,19
2009-08-17T00:00:00.000000000Z,17,0,0.000000845074583703704,17
2009-08-18T00:00:00.000000000Z,10,0,0.000000497102696296296,10
2009-08-19T00:00:00.000000000Z,18,0,0.000000894784853333333,18
2009-08-20T00:00:00.000000000Z,22,0,0.00000109362593185185,22
