date,adf_stat,adf_p,r2,alpha,b_real,c_dollar
2015-06-21,-2.720402718681905,0.006343708233794007,0.6398028630134635,8.200124269891884,-0.05621742051393851,-0.738434257504486
2015-07-12,-3.136510138120516,0.0017041791898786095,0.6690923584377486,8.185932436142846,-0.06478876005667236,-0.7348637393441771
2015-08-02,-3.342741788019635,0.0008443413480438708,0.7303271839628365,8.240632779334742,-0.09146482221619973,-0.7454579807525492
2015-08-23,-3.5906382960145042,0.0003480235490344439,0.7828798754081097,8.161308041102753,-0.11744148000868758,-0.7267391843405135
2015-09-13,-3.837567914496423,0.00013782215520501888,0.8080538437187714,7.944527960976661,-0.12456720271338126,-0.6794261506809902
2015-10-04,-3.7319074219478114,0.00020591940814858824,0.8095603045781637,7.7677759387891925,-0.12175168760692573,-0.6414499890213234
2015-10-25,-3.3733284805612924,0.0007587320909956841,0.7996496130649912,7.7390837208665815,-0.11641866186118534,-0.6353768727571366
2015-11-15,-3.641912542501272,0.0002881310362548333,0.8029470534728435,7.641013182057508,-0.11757508910878135,-0.6142225388848419
2015-12-06,-3.5592021011418264,0.0003903848472106722,0.7990599100180399,7.555594739440383,-0.1266637862245839,-0.5955777866545866
2015-12-27,-3.609688559915355,0.00032451149274093923,0.7973400417077083,7.5322244306845,-0.13054700800730595,-0.5904475975121395
2016-01-17,-3.6213506573214302,0.0003108693797827023,0.7847195867163805,7.477902864314581,-0.13130985001279127,-0.5788005075453686
2016-02-07,-3.3467735554597504,0.0008325596785140959,0.7613198668943031,7.258583801946612,-0.13308974695579906,-0.5314551247540669
2016-02-28,-3.002283871678333,0.0026442266843131382,0.6624491777812875,6.614771534388379,-0.15088797312811372,-0.39129152121126093
2016-03-20,-2.9908921924187992,0.002742859655887853,0.5937793909143574,6.1004375966440065,-0.17000871574980925,-0.27889220865277614
2016-04-10,-3.061014678202449,0.0021856687274120507,0.6103550422339828,6.241835836141438,-0.17087467141161006,-0.30869936272028087
2016-05-01,-2.9601898365348402,0.003025826042268596,0.6303213120931144,5.866628248187332,-0.18549816015661197,-0.2272026678880794
2016-05-22,-3.2335179451855067,0.0012297419218338652,0.6556076554739307,5.081649144940329,-0.20998953049956823,-0.057554220108657794
2016-06-12,-3.6556284637211585,0.00027385042276711734,0.6699402206615079,4.388978942728612,-0.21622400751669651,0.09018918330753034
2016-07-03,-3.5810114748486064,0.0003605100977088299,0.6853034060167074,3.6631510057988113,-0.2309591005051259,0.24610526572678548
2016-07-24,-3.586623841652171,0.00035317991558096935,0.7343392076831559,3.1507725157605,-0.24626340270177927,0.3566498070954579
2016-08-14,-3.7817204348373368,0.00017056854051531007,0.7727075136398008,3.1170015407170863,-0.2589049633899306,0.36542571904359655
2016-09-04,-4.549155870687625,7.659656371824979e-06,0.8228307970601993,3.618522847145067,-0.2798721990738488,0.26145451219378246
2016-09-25,-4.651562723186494,4.930771229131563e-06,0.8706886283729218,4.502097010786382,-0.297976754423225,0.07612805880033907
2016-10-16,-4.221561262913557,3.0113649039560586e-05,0.8684580399081895,4.787209152858818,-0.2909017606052936,0.01475595057300172
2016-11-06,-4.255147735972877,2.6246549432388013e-05,0.8717742604863142,4.393521934701897,-0.2882153107189275,0.09762779672261146
2016-11-27,-4.236567055904491,2.8322479285587934e-05,0.8747429045421706,3.8504927651314116,-0.28960485796753876,0.21274059104958498
2016-12-18,-4.601289832881149,6.125415817859841e-06,0.8822765755078827,4.463912145248612,-0.2850450748074748,0.08270417070791292
2017-01-08,-4.537801956714736,8.040140309345962e-06,0.8889169792536576,5.065456991805229,-0.2804733057277897,-0.04481980936520569
2017-01-29,-4.495437878156454,9.628212261950187e-06,0.8845915333092792,5.042846528086563,-0.2799646229853389,-0.04002362432283202
2017-02-19,-4.191300054410862,3.4063481814469895e-05,0.8789787730995446,4.680143401224394,-0.28383583591327854,0.037109715821693645
2017-03-12,-4.135845883725316,4.2632408027238835e-05,0.8732366693586016,3.9255342623866887,-0.29023280977727217,0.19718433414530556
2017-04-02,-3.92212606515461,9.940677052912641e-05,0.8504386614485613,3.4000443026528906,-0.29569549095329567,0.30883337397120836
2017-04-23,-3.5389578607198344,0.0004201987136600732,0.8210130359537401,3.9498066048995684,-0.2770783694459049,0.19210374269885744
2017-05-14,-3.4110139575329135,0.0006644566382490865,0.7688860775931408,4.7676195054495665,-0.24706520815269964,0.01794843571080884
2017-06-04,-3.5038932914458196,0.0004769924040557005,0.7160790295020858,6.187870223071277,-0.19520864824718315,-0.2846704056915057
2017-06-25,-2.9596491975862147,0.0030310412940670658,0.6776468607133797,7.1198457934690875,-0.15356064090122168,-0.4835327737770422
2017-07-16,-2.7889024618082208,0.005159528808010351,0.6787102847155659,7.342330631138232,-0.1470225158466803,-0.5308873876392339
2017-08-06,-2.7328339985891303,0.006112028916467355,0.6809208493128585,7.52954963658302,-0.1435137811904876,-0.5706332496485347
2017-08-27,-3.148184200382393,0.0016391953707278186,0.7353674709293971,8.277495178919983,-0.13864433332131573,-0.7284529928738769
2017-09-17,-3.4721246459114363,0.0005346366804640674,0.7978687605855017,9.185184888722368,-0.1347429137577218,-0.9199731229682678
