date,rc_real_gold_252d,rc_dollar_gold_252d
2024-01-08,-0.5123409254352983,-0.36752048083249983
2024-01-09,-0.5117837320789475,-0.36824148117793726
2024-01-10,-0.5118702841998322,-0.3682167529709611
2024-01-11,-0.5111821576908478,-0.367726056497292
2024-01-12,-0.5134623615275138,-0.3700339338228501
2024-01-15,-0.5157056383668287,-0.37040831706232086
2024-01-16,-0.5184319674622409,-0.3770692015679862
2024-01-17,-0.518549566141482,-0.3812107695937215
2024-01-18,-0.5184283274133242,-0.38243374170774713
2024-01-19,-0.5120837998958625,-0.3796741432851667
2024-01-22,-0.5125014440367442,-0.3928861519598527
2024-01-23,-0.49871668555631177,-0.36544067390357976
2024-01-24,-0.5015157667823738,-0.3635705396062728
2024-01-25,-0.5020080318364005,-0.36123631428736575
2024-01-26,-0.5021256872522823,-0.3603899173703735
2024-01-29,-0.5024567660062784,-0.360290844456888
2024-01-30,-0.5043351566791318,-0.36080344236198497
2024-01-31,-0.5028837357771403,-0.3620261052652913
2024-02-01,-0.5055293993536982,-0.36214851372249507
2024-02-02,-0.5118538551722969,-0.36216396426508746
2024-02-05,-0.5133674121819467,-0.3642338179100461
2024-02-06,-0.5140034250939546,-0.3660849521306871
2024-02-07,-0.5140295609794513,-0.3660209130751073
2024-02-08,-0.5131231312548326,-0.36598348883195975
2024-02-09,-0.5142843976952597,-0.3645008510230012
2024-02-12,-0.5148302932079541,-0.3639624536894448
2024-02-13,-0.5173336259531863,-0.36780338994385575
2024-02-14,-0.5161369684748796,-0.36707064803140615
2024-02-15,-0.5160550138324351,-0.3678709249379436
2024-02-16,-0.520395311991472,-0.36582711766331477
2024-02-19,-0.520405014534927,-0.36644731980958656
2024-02-20,-0.5160045983174477,-0.36400059446969113
2024-02-21,-0.5150523322659579,-0.3668350605658147
2024-02-22,-0.5080491692866568,-0.35185257031979283
2024-02-23,-0.509990241378013,-0.35199167219795185
2024-02-26,-0.5093343237178234,-0.35295065098089307
2024-02-27,-0.4927308416670532,-0.35225889303201446
2024-02-28,-0.47993217875470634,-0.34742242688052455
2024-02-29,-0.48011993465410646,-0.34622621332331094
2024-03-01,-0.4792237232176793,-0.3644802140426377
2024-03-04,-0.47972773933058144,-0.3642457944511746
2024-03-05,-0.4823097275676129,-0.3677553600300109
2024-03-06,-0.4818245071715805,-0.37228368376987264
2024-03-07,-0.4831697720379892,-0.3819446212021967
2024-03-08,-0.4696577229585751,-0.38094296424409413
2024-03-11,-0.47045455272953235,-0.37147681480393285
2024-03-12,-0.4771150497482986,-0.3641489125527735
2024-03-13,-0.46908727165757935,-0.3698212467486926
2024-03-14,-0.4682125738420304,-0.36712717459948924
2024-03-15,-0.4685361128051515,-0.3679697193438237
2024-03-18,-0.46659709013368106,-0.36481495025083466
2024-03-19,-0.46991995074366294,-0.36577191765908273
2024-03-20,-0.4712429329362486,-0.3643238704204073
2024-03-21,-0.46937365946402787,-0.3634874262216766
2024-03-22,-0.46268323815735235,-0.3663405576260222
2024-03-25,-0.4625999467183073,-0.3675089236971265
2024-03-26,-0.46394515216773013,-0.3672047263732888
2024-03-27,-0.46670927492694897,-0.3639779575169637
2024-03-28,-0.46478004464422606,-0.3593106429199651
2024-03-29,-0.464995179507602,-0.35745194487199183
