date,e_level,z_level
2023-01-30,1.5603930296378117e+115,6.685490720216133
2023-01-31,8.581841236493375e+115,6.782178595498917
2023-02-01,4.47773437044245e+116,6.570909321797836
2023-02-02,2.2407570081808776e+117,6.406419038128948
2023-02-03,1.1405302460594688e+118,6.4729689795433805
2023-02-06,6.166808494419273e+118,6.71339422603631
2023-02-07,3.296104861648339e+119,6.667017311093774
2023-02-08,1.6956186179479197e+120,6.514837140644306
2023-02-09,8.771017503960938e+120,6.5366304119642225
2023-02-10,4.773559117994198e+121,6.739750315334181
2023-02-13,2.5546818743764838e+122,6.672131610849645
2023-02-14,1.4121526165537966e+123,6.802723257487207
2023-02-15,7.617707838996657e+123,6.704024289896594
2023-02-16,4.17591940626749e+124,6.768942446410772
2023-02-17,2.2694413142161886e+125,6.733937027698077
2023-02-20,1.2333484863096977e+126,6.733937027698077
2023-02-21,6.923360978256919e+126,6.865469364985297
2023-02-22,3.8070677879372824e+127,6.7814985778363415
2023-02-23,2.0571702061152204e+128,6.710853517920434
2023-02-24,1.1480832158788922e+129,6.841699994390358
2023-02-27,6.431271641631079e+129,6.856928569110405
2023-02-28,3.496547698821628e+130,6.735570180719664
2023-03-01,2.015719879110732e+131,6.974873457890164
2023-03-02,1.1867562838620665e+132,7.062227678424024
2023-03-03,6.562257932189696e+132,6.804098063210467
2023-03-06,3.652556381968482e+133,6.830816577604704
2023-03-07,2.070886919644742e+134,6.906295579090302
2023-03-08,1.222596883857153e+135,7.073708789324747
2023-03-09,7.292790039085343e+135,7.1168811250514254
2023-03-10,4.1223388506895546e+136,6.893926619703667
2023-03-13,2.2940434654944637e+137,6.830012858566154
2023-03-14,1.27186311619487e+138,6.814835277781995
2023-03-15,6.819047600890462e+138,6.679418718828901
2023-03-16,3.94146992189023e+139,6.985763085014493
2023-03-17,2.3981987512744754e+140,7.200367258430372
2023-03-20,1.487537009819533e+141,7.281981973439933
2023-03-21,8.885317438313129e+141,7.122621730616119
2023-03-22,5.051611533115014e+142,6.917620458037838
2023-03-23,2.9352424419396134e+143,7.007501015689961
2023-03-24,1.6316792399501055e+144,6.825631790954089
