Date,097950,271560,004370,003230,005180,035250,023530,139480,282330
2018-07-26,334000,135500,291000,87700,60100,26550,201500,222000,165000
2018-07-27,334500,136000,293000,83800,60000,26400,202500,218000,164000
2018-07-30,334500,138000,291500,84900,60200,26350,206000,222500,164500
2018-07-31,338000,133500,294000,84700,60200,26000,206000,218500,169000
2018-08-01,342500,133000,296000,86400,60200,25900,206000,224500,166500
2018-08-02,339500,130500,292500,84500,62900,25800,206000,222500,165500
2018-08-03,344000,128000,294500,85800,63300,25800,210000,219500,164500
2018-08-06,347000,123000,293500,85000,62600,26000,209500,226500,168000
2018-08-07,343500,123500,293000,85200,61400,26150,207500,221000,167500
2018-08-08,339500,123500,292500,84800,60300,26000,203500,223500,166000
2018-08-09,341500,120500,291000,84100,60400,26800,204000,226000,169500
2018-08-10,354000,122500,292000,82500,61900,28900,204500,218000,171500
2018-08-13,349000,119500,291500,78000,65200,28950,190000,217500,166500
2018-08-14,344500,118000,277500,82000,67000,29550,191000,212000,162500
2018-08-16,339500,105500,258000,82100,67900,28700,182000,204000,161000
2018-08-17,340500,105000,258000,86000,68200,29450,182500,207000,161500
2018-08-20,337000,105000,256500,88500,70000,29350,180000,212500,165500
2018-08-21,337000,109500,259500,86400,67000,29350,181500,212000,165000
2018-08-22,337500,107000,255000,86100,66600,29200,179500,212500,161000
2018-08-23,337500,108000,256000,86200,68200,29750,179000,207500,159000
2018-08-24,338500,107000,253000,84700,68900,29650,180000,210500,159000
2018-08-27,341000,111000,245000,82500,68300,28900,179500,211000,166500
2018-08-28,349000,110000,246500,82200,70000,29150,184000,221500,180000
2018-08-29,343000,107000,245000,82400,68700,28400,182000,219500,176500
2018-08-30,339500,107000,250500,83600,69500,28600,179500,214500,170000
2018-08-31,342500,107000,249500,83500,70100,28950,180000,214500,171500
2018-09-03,345000,109000,250000,83100,70400,28500,181000,211500,175500
2018-09-04,337000,106000,249000,84700,70400,28500,179500,211500,174500
2018-09-05,334000,105500,247500,82100,71800,28450,179500,209000,176000
2018-09-06,332500,104500,246500,81200,74900,28500,179000,209000,172500
2018-09-07,332500,98700,246000,82200,75100,28400,180000,207000,181500
2018-09-10,333500,96300,244000,82400,76800,28050,179000,201000,191000
2018-09-11,328000,95500,243000,81900,77500,27950,185000,195500,194500
2018-09-12,326500,104000,244000,81100,79200,27000,187000,197000,193500
2018-09-13,332000,105500,248000,80000,78800,27000,198500,201000,198500
2018-09-14,327500,105500,248000,80400,78000,27600,198000,201500,197500
2018-09-17,327500,104000,246500,78400,75400,27450,196000,201000,195000
2018-09-18,325500,103000,242500,77800,75400,27850,198500,193500,195500
2018-09-19,325500,107000,242000,77400,75400,27900,198500,191500,198000
2018-09-20,328000,107000,242000,76200,75800,27800,206500,188000,195000
2018-09-21,331000,110000,245500,75300,75600,28450,209000,190500,201000
2018-09-27,330500,108000,243000,75300,75400,28350,210000,197000,212500
2018-09-28,333500,105500,243500,77800,75400,28700,209500,207500,205500
2018-10-01,331500,107000,241500,78200,75500,28250,209500,210500,195000
2018-10-02,329000,102500,236000,77000,74600,27750,204000,209000,195000
2018-10-04,327000,99200,229000,75600,76800,28100,204000,210000,198000
2018-10-05,327000,99000,231500,74300,71900,28450,204000,219500,200000
2018-10-08,330000,96700,229500,71000,74500,28300,205000,215000,201000
2018-10-10,325000,99100,227500,66600,74400,28700,202500,212500,210000
2018-10-11,312000,96800,222000,63200,70800,28150,202500,205500,205000
2018-10-12,317500,103500,222000,65800,73400,27450,201500,203500,198000
2018-10-15,322000,107000,227500,64300,72000,28450,208500,206500,195500
